structid,chain,unp,gene,offset,hybrid,resolution,seq_length
3ZW5,B,A6NK44,GLOD5,12,0,1.6,123
3ZW5,A,A6NK44,GLOD5,12,0,1.6,124
3IUG,B,A7KAX9,ARHGAP32,0,0,1.77,186
3IUG,A,A7KAX9,ARHGAP32,0,0,1.77,183
2W2I,C,B2RXH2,KDM4E,0,0,2.1,314
2W2I,B,B2RXH2,KDM4E,0,0,2.1,306
2W2I,A,B2RXH2,KDM4E,0,0,2.1,305
3VFN,A,C5MK56,HLA-B,24,0,1.5,276
3VFO,A,C5MK56,HLA-B,24,0,1.7,276
3VFR,A,C5MK56,HLA-B,24,0,1.85,276
3VFP,A,C5MK56,HLA-B,24,0,1.85,276
3VFM,A,C5MK56,HLA-B,24,0,1.9,276
2GRY,A,O00139,KIF2A,27,0,2.35,327
2R5T,A,O00141,SGK1,0,0,1.9,284
4EGC,B,O00167,EYA2,0,0,1.99,255
3GEB,B,O00167,EYA2,0,0,2.4,253
3GEB,A,O00167,EYA2,0,0,2.4,255
3GEB,D,O00167,EYA2,0,0,2.4,256
3GEB,C,O00167,EYA2,0,0,2.4,255
3HB0,C,O00167,EYA2,0,0,2.5,256
3HB0,B,O00167,EYA2,0,0,2.5,253
3HB0,A,O00167,EYA2,0,0,2.5,256
3HB0,D,O00167,EYA2,0,0,2.5,256
4APO,A,O00170,AIP,0,0,1.9,142
4APO,B,O00170,AIP,0,0,1.9,154
4AIF,B,O00170,AIP,0,0,2.01,144
4AIF,A,O00170,AIP,0,0,2.01,144
2ZHN,A,O00182,LGALS9,0,0,1.3,145
3WLU,D,O00182,LGALS9,0,0,1.4,142
3WLU,C,O00182,LGALS9,0,0,1.4,142
3WLU,B,O00182,LGALS9,0,0,1.4,142
3WLU,A,O00182,LGALS9,0,0,1.4,142
3NV1,A,O00182,LGALS9,32,0,1.5,136
3NV3,A,O00182,LGALS9,32,0,1.57,136
2ZHL,A,O00182,LGALS9,0,0,1.75,142
2ZHL,D,O00182,LGALS9,0,0,1.75,142
2ZHL,C,O00182,LGALS9,0,0,1.75,142
2ZHL,B,O00182,LGALS9,0,0,1.75,142
2ZHK,B,O00182,LGALS9,0,0,1.8,142
2ZHK,A,O00182,LGALS9,0,0,1.8,141
2ZHM,D,O00182,LGALS9,0,0,1.84,141
2ZHM,C,O00182,LGALS9,0,0,1.84,142
2ZHM,B,O00182,LGALS9,0,0,1.84,142
2ZHM,A,O00182,LGALS9,0,0,1.84,143
2EAL,B,O00182,LGALS9,0,0,1.85,142
2EAL,A,O00182,LGALS9,0,0,1.85,141
3WV6,B,O00182,LGALS9,0,0,1.95,284
3WV6,A,O00182,LGALS9,0,0,1.95,284
2EAK,C,O00182,LGALS9,0,0,1.97,142
2EAK,B,O00182,LGALS9,0,0,1.97,142
2EAK,A,O00182,LGALS9,0,0,1.97,143
3NV4,A,O00182,LGALS9,32,0,1.99,136
3LSD,A,O00182,LGALS9,0,0,2.03,143
2YY1,A,O00182,LGALS9,-7,0,2.17,141
3NV2,A,O00182,LGALS9,32,0,2.34,136
3TVJ,B,O00187,MASP2,0,0,1.28,242
1ZJK,A,O00187,MASP2,0,0,2.18,390
1Q3X,B,O00187,MASP2,0,0,2.23,315
1Q3X,A,O00187,MASP2,0,0,2.23,320
1SZB,B,O00187,MASP2,15,0,2.5,164
1SZB,A,O00187,MASP2,15,0,2.5,165
3L81,A,O00189,AP4M1,0,0,1.6,250
4MDR,A,O00189,AP4M1,0,0,1.85,245
1Q20,A,O00204,SULT2B1,0,0,2.3,293
1Q1Z,A,O00204,SULT2B1,0,0,2.4,284
1Q22,A,O00204,SULT2B1,0,0,2.5,290
2Z62,A,O00206,TLR4,0,0,1.7,202
2Z66,D,O00206,TLR4,298,0,1.9,247
2Z66,C,O00206,TLR4,298,0,1.9,247
2Z66,B,O00206,TLR4,298,0,1.9,247
2Z66,A,O00206,TLR4,298,0,1.9,247
3UL7,A,O00206,TLR4,0,0,2.37,199
3UL9,A,O00206,TLR4,0,0,2.45,201
3UL8,A,O00206,TLR4,0,0,2.5,202
2J1L,A,O00212,RHOD,0,0,2.5,157
3DXE,C,O00213,APBB1,0,0,2.0,130
3DXE,A,O00213,APBB1,0,0,2.0,124
3DXC,A,O00213,APBB1,0,0,2.1,130
3DXC,C,O00213,APBB1,0,0,2.1,123
3D8D,B,O00213,APBB1,0,0,2.2,138
3DXD,C,O00213,APBB1,0,0,2.2,123
3D8D,A,O00213,APBB1,0,0,2.2,138
3DXD,A,O00213,APBB1,0,0,2.2,131
3AP9,A,O00214,LGALS8,0,0,1.33,151
4BMB,A,O00214,LGALS8,0,0,1.35,150
3AP7,A,O00214,LGALS8,0,0,1.53,151
3AP6,A,O00214,LGALS8,0,0,1.58,146
3AP6,D,O00214,LGALS8,0,0,1.58,147
3AP6,C,O00214,LGALS8,0,0,1.58,145
3AP6,B,O00214,LGALS8,0,0,1.58,145
3AP5,A,O00214,LGALS8,0,0,1.92,152
2YV8,A,O00214,LGALS8,-7,0,1.92,145
3APB,B,O00214,LGALS8,0,0,1.95,152
3APB,A,O00214,LGALS8,0,0,1.95,152
3VKN,B,O00214,LGALS8,0,0,1.98,147
3VKN,A,O00214,LGALS8,0,0,1.98,147
4BME,B,O00214,LGALS8,0,0,2.0,146
4BME,A,O00214,LGALS8,0,0,2.0,147
4GXL,A,O00214,LGALS8,-42,0,2.02,132
3VKO,B,O00214,LGALS8,0,0,2.08,147
3VKO,A,O00214,LGALS8,0,0,2.08,147
2YXS,A,O00214,LGALS8,-7,0,2.13,144
3AP4,D,O00214,LGALS8,0,0,2.33,147
3AP4,C,O00214,LGALS8,0,0,2.33,147
3AP4,B,O00214,LGALS8,0,0,2.33,146
3AP4,A,O00214,LGALS8,0,0,2.33,146
3MDY,C,O00238,BMPR1B,0,0,2.05,320
3MDY,A,O00238,BMPR1B,0,0,2.05,320
2JJU,B,O00241,SIRPB1,29,0,1.19,112
2JJU,A,O00241,SIRPB1,29,0,1.19,107
4X8Y,B,O00264,PGRMC1,0,0,1.95,102
4X8Y,A,O00264,PGRMC1,0,0,1.95,108
3C5N,B,O00294,TULP1,53,0,1.8,223
3C5N,A,O00294,TULP1,53,0,1.8,231
2FIM,B,O00294,TULP1,53,0,1.9,232
2FIM,A,O00294,TULP1,53,0,1.9,224
4K0N,A,O00299,CLIC1,0,0,1.25,234
4JZQ,B,O00299,CLIC1,0,0,1.35,234
4JZQ,A,O00299,CLIC1,0,0,1.35,237
1K0M,B,O00299,CLIC1,0,0,1.4,236
1K0M,A,O00299,CLIC1,0,0,1.4,235
4K0G,A,O00299,CLIC1,0,0,1.4,237
3O3T,A,O00299,CLIC1,0,0,1.7,236
1K0O,A,O00299,CLIC1,0,0,1.75,225
1K0O,B,O00299,CLIC1,0,0,1.75,213
3QR6,A,O00299,CLIC1,0,0,1.78,236
1RK4,B,O00299,CLIC1,0,0,1.79,206
1RK4,A,O00299,CLIC1,0,0,1.79,213
1K0N,B,O00299,CLIC1,0,0,1.8,219
1K0N,A,O00299,CLIC1,0,0,1.8,226
3UVH,B,O00299,CLIC1,0,0,1.84,232
3UVH,A,O00299,CLIC1,0,0,1.84,231
3P8W,A,O00299,CLIC1,0,0,2.0,236
3TGZ,B,O00299,CLIC1,0,0,2.3,236
3TGZ,A,O00299,CLIC1,0,0,2.3,236
3P90,A,O00299,CLIC1,0,0,2.3,236
3SWL,A,O00299,CLIC1,0,0,2.35,232
4IQA,B,O00299,CLIC1,0,0,2.49,220
4IQA,A,O00299,CLIC1,0,0,2.49,223
4F9C,A,O00311,CDC7,0,0,2.08,306
4F9A,C,O00311,CDC7,0,0,2.17,317
4F9A,A,O00311,CDC7,0,0,2.17,315
4F99,A,O00311,CDC7,0,0,2.33,312
4F9B,C,O00311,CDC7,0,0,2.5,316
4F9B,A,O00311,CDC7,0,0,2.5,318
3BFX,B,O00338,SULT1C2,0,0,1.8,248
3BFX,A,O00338,SULT1C2,0,0,1.8,253
3LLK,C,O00391,QSOX1,0,0,2.0,241
3LLK,B,O00391,QSOX1,0,0,2.0,243
3LLK,A,O00391,QSOX1,0,0,2.0,241
3Q6O,A,O00391,QSOX1,0,0,2.05,228
3LLI,A,O00391,QSOX1,0,0,2.05,251
3TV0,B,O00399,DCTN6,0,0,2.15,141
3TV0,A,O00399,DCTN6,0,0,2.15,143
3ITU,D,O00408,PDE2A,0,0,1.58,327
3ITU,C,O00408,PDE2A,0,0,1.58,327
3ITU,B,O00408,PDE2A,0,0,1.58,333
3ITU,A,O00408,PDE2A,0,0,1.58,338
1Z1L,A,O00408,PDE2A,0,0,1.7,336
4JIB,D,O00408,PDE2A,0,0,1.72,335
4JIB,C,O00408,PDE2A,0,0,1.72,327
4JIB,B,O00408,PDE2A,0,0,1.72,336
4JIB,A,O00408,PDE2A,0,0,1.72,338
4HTX,C,O00408,PDE2A,0,0,1.9,325
4D08,D,O00408,PDE2A,0,0,1.9,335
4HTX,B,O00408,PDE2A,0,0,1.9,336
4D08,C,O00408,PDE2A,0,0,1.9,327
4HTX,A,O00408,PDE2A,0,0,1.9,338
4D08,B,O00408,PDE2A,0,0,1.9,337
4D08,A,O00408,PDE2A,0,0,1.9,339
4HTX,D,O00408,PDE2A,0,0,1.9,327
4HTZ,D,O00408,PDE2A,0,0,2.0,326
4HTZ,C,O00408,PDE2A,0,0,2.0,325
4HTZ,B,O00408,PDE2A,0,0,2.0,337
4HTZ,A,O00408,PDE2A,0,0,2.0,338
4C1I,D,O00408,PDE2A,0,0,2.4,319
4C1I,C,O00408,PDE2A,0,0,2.4,319
4C1I,B,O00408,PDE2A,0,0,2.4,320
4C1I,A,O00408,PDE2A,0,0,2.4,325
3ITM,D,O00408,PDE2A,0,0,2.49,318
3ITM,C,O00408,PDE2A,0,0,2.49,310
3ITM,B,O00408,PDE2A,0,0,2.49,318
3ITM,A,O00408,PDE2A,0,0,2.49,307
4D09,D,O00408,PDE2A,0,0,2.5,326
4D09,C,O00408,PDE2A,0,0,2.5,329
4D09,B,O00408,PDE2A,0,0,2.5,338
4D09,A,O00408,PDE2A,0,0,2.5,340
3W6P,B,O00429,DNM1L,0,0,1.7,340
3W6P,A,O00429,DNM1L,0,0,1.7,331
3W6O,B,O00429,DNM1L,0,0,1.9,339
3W6O,A,O00429,DNM1L,0,0,1.9,335
3W6N,B,O00429,DNM1L,0,0,2.0,340
3W6N,A,O00429,DNM1L,0,0,2.0,335
4H1V,A,O00429,DNM1L,0,0,2.3,358
4H1U,A,O00429,DNM1L,0,0,2.3,358
2AR5,A,O00443,PIK3C2A,1419,0,1.8,112
2RED,A,O00443,PIK3C2A,0,0,2.1,109
2REA,A,O00443,PIK3C2A,0,0,2.5,112
3COK,B,O00444,PLK4,1,0,2.25,232
3COK,A,O00444,PLK4,1,0,2.25,232
4JXF,A,O00444,PLK4,0,0,2.4,235
5MR5,D,O00451,GFRA2,0,0,2.0,198
5MR5,C,O00451,GFRA2,0,0,2.0,198
5MR4,D,O00451,GFRA2,0,0,2.4,285
5MR4,C,O00451,GFRA2,0,0,2.4,285
2XS6,A,O00459,PIK3R2,0,0,2.09,166
4F8T,A,O00478,BTN3A3,29,0,2.38,210
4N7I,A,O00481,BTN3A1,30,0,1.4,186
4N7U,A,O00481,BTN3A1,30,0,1.46,185
4K55,A,O00481,BTN3A1,27,0,1.91,114
4F80,A,O00481,BTN3A1,29,0,1.94,209
4JKW,A,O00481,BTN3A1,27,0,2.01,114
4V1P,A,O00481,BTN3A1,307,0,2.04,188
3PLZ,B,O00482,NR5A2,0,0,1.75,240
3PLZ,A,O00482,NR5A2,0,0,1.75,231
4PLE,G,O00482,NR5A2,0,0,1.75,238
4PLE,E,O00482,NR5A2,0,0,1.75,237
4PLE,C,O00482,NR5A2,0,0,1.75,237
4PLD,A,O00482,NR5A2,0,0,1.75,238
4PLE,A,O00482,NR5A2,0,0,1.75,238
4ONI,B,O00482,NR5A2,0,0,1.8,242
4ONI,A,O00482,NR5A2,0,0,1.8,241
5L11,A,O00482,NR5A2,0,0,1.85,234
4RWV,A,O00482,NR5A2,0,0,1.86,242
4DOR,B,O00482,NR5A2,0,0,1.9,240
4DOR,A,O00482,NR5A2,0,0,1.9,216
1YUC,B,O00482,NR5A2,0,0,1.9,240
1YUC,A,O00482,NR5A2,0,0,1.9,240
5SYZ,A,O00482,NR5A2,0,0,1.93,237
4DOS,A,O00482,NR5A2,0,0,2.0,240
1ZDU,A,O00482,NR5A2,46,0,2.5,233
1YOK,A,O00482,NR5A2,0,0,2.5,236
2FIC,B,O00499,BIN1,-10,0,1.99,201
2FIC,A,O00499,BIN1,-10,0,1.99,191
2XIK,A,O00506,STK25,0,0,1.97,288
4HDO,A,O00522,KRIT1,0,0,1.67,310
4HDQ,A,O00522,KRIT1,0,0,1.95,311
4DXA,B,O00522,KRIT1,0,0,1.95,301
3U7D,A,O00522,KRIT1,0,0,2.49,305
3U7D,C,O00522,KRIT1,0,0,2.49,305
1W9E,B,O00560,SDCBP,0,0,1.56,161
1W9E,A,O00560,SDCBP,0,0,1.56,161
1OBZ,B,O00560,SDCBP,0,0,1.69,160
1OBZ,A,O00560,SDCBP,0,0,1.69,161
1W9Q,B,O00560,SDCBP,0,0,1.7,161
1W9Q,A,O00560,SDCBP,0,0,1.7,161
1V1T,B,O00560,SDCBP,0,0,1.8,160
1V1T,A,O00560,SDCBP,0,0,1.8,161
1N99,B,O00560,SDCBP,0,0,1.94,157
1N99,A,O00560,SDCBP,0,0,1.94,158
1W9O,B,O00560,SDCBP,0,0,2.25,160
1W9O,A,O00560,SDCBP,0,0,2.25,161
1YBO,B,O00560,SDCBP,0,0,2.3,160
1YBO,A,O00560,SDCBP,0,0,2.3,161
4Z33,B,O00560,SDCBP,0,0,2.45,165
4Z33,A,O00560,SDCBP,0,0,2.45,165
2JGN,C,O00571,DDX3X,1,0,1.91,158
2JGN,B,O00571,DDX3X,1,0,1.91,161
2JGN,A,O00571,DDX3X,1,0,1.91,151
2I4I,A,O00571,DDX3X,0,0,2.2,407
5E7I,A,O00571,DDX3X,0,0,2.22,430
5E7I,C,O00571,DDX3X,0,0,2.22,424
5E7I,B,O00571,DDX3X,0,0,2.22,418
5E7J,A,O00571,DDX3X,0,0,2.23,433
5E7M,A,O00571,DDX3X,0,0,2.3,424
4PX9,C,O00571,DDX3X,0,0,2.31,273
4PX9,B,O00571,DDX3X,0,0,2.31,262
4PX9,A,O00571,DDX3X,0,0,2.31,262
3T0O,A,O00584,RNASET2,0,0,1.59,196
2WNP,F,O00602,FCN1,29,0,1.21,217
2JHM,F,O00602,FCN1,29,0,1.52,217
2JHH,F,O00602,FCN1,29,0,1.7,209
2JHH,C,O00602,FCN1,29,0,1.7,208
2JHL,F,O00602,FCN1,29,0,1.75,217
2JHK,F,O00602,FCN1,29,0,1.75,217
2JHI,F,O00602,FCN1,29,0,1.8,217
2D39,C,O00602,FCN1,0,0,1.9,212
2D39,B,O00602,FCN1,0,0,1.9,199
2D39,A,O00602,FCN1,0,0,1.9,207
4EWE,A,O00625,PIR,0,0,1.56,288
4HLT,A,O00625,PIR,0,0,1.7,288
5JCT,A,O00625,PIR,0,0,1.73,287
4GUL,A,O00625,PIR,0,0,1.8,288
1J1L,A,O00625,PIR,0,0,2.1,282
4EWD,A,O00625,PIR,0,0,2.15,288
3ACL,A,O00625,PIR,0,0,2.35,288
4EWA,A,O00625,PIR,0,0,2.47,288
1EHW,B,O00746,NME4,33,0,2.4,142
1EHW,A,O00746,NME4,33,0,2.4,142
4HE2,A,O00757,FBP2,1,0,1.6,308
5ET5,A,O00757,FBP2,1,0,1.67,282
5K54,A,O00757,FBP2,1,0,1.72,283
5ET6,D,O00757,FBP2,1,0,1.85,315
5ET6,C,O00757,FBP2,1,0,1.85,317
5ET6,B,O00757,FBP2,1,0,1.85,315
5ET6,A,O00757,FBP2,1,0,1.85,320
5ET8,A,O00757,FBP2,1,0,1.92,287
3IFA,C,O00757,FBP2,1,0,1.93,321
3IFA,B,O00757,FBP2,1,0,1.93,321
3IFA,A,O00757,FBP2,1,0,1.93,326
3IFA,D,O00757,FBP2,1,0,1.93,322
3IFC,C,O00757,FBP2,1,0,1.97,321
3IFC,B,O00757,FBP2,1,0,1.97,320
3IFC,A,O00757,FBP2,1,0,1.97,323
3IFC,D,O00757,FBP2,1,0,1.97,319
5K55,A,O00757,FBP2,1,0,1.98,290
5K56,A,O00757,FBP2,1,0,2.2,275
4HE1,A,O00757,FBP2,1,0,2.23,309
5L0A,A,O00757,FBP2,1,0,2.3,277
4YII,U,O00762,UBE2C,0,0,1.8,145
1I7K,B,O00762,UBE2C,0,0,1.95,146
1I7K,A,O00762,UBE2C,0,0,1.95,146
2YXT,B,O00764,PDXK,0,0,2.0,304
2YXT,A,O00764,PDXK,0,0,2.0,304
4EOH,B,O00764,PDXK,0,0,2.1,307
4EOH,A,O00764,PDXK,0,0,2.1,303
3KEU,B,O00764,PDXK,0,0,2.1,305
3KEU,A,O00764,PDXK,0,0,2.1,305
4EN4,B,O00764,PDXK,0,0,2.15,310
4EN4,A,O00764,PDXK,0,0,2.15,310
2YXU,B,O00764,PDXK,0,0,2.2,307
2YXU,A,O00764,PDXK,0,0,2.2,306
3FHY,B,O00764,PDXK,0,0,2.3,306
3FHY,A,O00764,PDXK,0,0,2.3,306
2AJP,B,O00764,PDXK,0,0,2.5,300
2AJP,A,O00764,PDXK,0,0,2.5,302
3FHX,B,O00764,PDXK,0,0,2.5,310
3FHX,A,O00764,PDXK,0,0,2.5,308
2C9W,A,O14508,SOCS2,0,0,1.9,153
2OOQ,B,O14522,PTPRT,-22,0,1.8,279
2OOQ,A,O14522,PTPRT,-22,0,1.8,277
2VIF,A,O14544,SOCS6,0,0,1.45,129
3H9E,P,O14556,GAPDHS,0,0,1.72,334
3H9E,O,O14556,GAPDHS,0,0,1.72,334
5C7O,P,O14556,GAPDHS,0,0,1.73,333
5C7O,O,O14556,GAPDHS,0,0,1.73,333
5C7L,O,O14556,GAPDHS,0,0,1.86,333
5C7L,R,O14556,GAPDHS,0,0,1.86,333
3PFW,P,O14556,GAPDHS,0,0,2.15,334
3PFW,O,O14556,GAPDHS,0,0,2.15,334
3V30,A,O14593,RFXANK,0,0,1.57,161
4QQM,C,O14593,RFXANK,0,0,1.78,162
4QQM,A,O14593,RFXANK,0,0,1.78,162
3UXG,A,O14593,RFXANK,0,0,1.85,163
4UF0,B,O14607,UTY,0,0,1.78,439
4UF0,A,O14607,UTY,0,0,1.78,443
5FY1,B,O14607,UTY,0,0,1.78,442
5FY1,A,O14607,UTY,0,0,1.78,442
3ZLI,B,O14607,UTY,0,0,1.8,439
3ZLI,A,O14607,UTY,0,0,1.8,443
5FY7,A,O14607,UTY,79,0,1.86,446
5FY7,B,O14607,UTY,79,0,1.86,442
5FXV,B,O14607,UTY,0,0,1.91,439
5FXV,A,O14607,UTY,0,0,1.91,442
5FXZ,B,O14607,UTY,0,0,1.98,439
5FXZ,A,O14607,UTY,0,0,1.98,444
5FXX,B,O14607,UTY,0,0,1.99,439
5FXX,A,O14607,UTY,0,0,1.99,444
3ZPO,B,O14607,UTY,0,0,2.0,438
3ZPO,A,O14607,UTY,0,0,2.0,443
5FYM,B,O14607,UTY,79,0,2.0,442
5FYM,A,O14607,UTY,79,0,2.0,444
5A1L,B,O14607,UTY,79,0,2.0,439
5A1L,A,O14607,UTY,79,0,2.0,443
5FXW,B,O14607,UTY,0,0,2.09,439
5FXW,A,O14607,UTY,0,0,2.09,444
5FY0,B,O14607,UTY,0,0,2.14,439
5FY0,A,O14607,UTY,0,0,2.14,444
5AFW,A,O14646,CHD1,0,0,1.6,163
4B4C,A,O14646,CHD1,0,0,1.62,187
4O42,A,O14646,CHD1,0,0,1.87,173
4NW2,C,O14646,CHD1,0,0,1.9,173
4NW2,A,O14646,CHD1,0,0,1.9,173
2B2Y,B,O14646,CHD1,258,0,2.35,168
2B2Y,A,O14646,CHD1,258,0,2.35,173
2B2W,B,O14646,CHD1,258,0,2.4,174
2B2W,A,O14646,CHD1,258,0,2.4,175
2B2T,B,O14646,CHD1,258,0,2.45,170
2B2T,A,O14646,CHD1,258,0,2.45,172
5J1S,A,O14656,TOR1A,0,0,1.4,277
5J1T,A,O14656,TOR1A,0,0,1.4,277
4AL0,A,O14684,PTGES,0,0,1.16,146
5TL9,A,O14684,PTGES,0,0,1.2,147
5K0I,A,O14684,PTGES,0,0,1.3,147
5T36,A,O14684,PTGES,0,0,1.4,147
4YL3,A,O14684,PTGES,0,0,1.41,146
4YL1,A,O14684,PTGES,0,0,1.41,148
4YK5,A,O14684,PTGES,0,0,1.42,146
5BQG,A,O14684,PTGES,0,0,1.44,148
4YL0,A,O14684,PTGES,0,0,1.52,147
5BQH,A,O14684,PTGES,0,0,1.6,148
5T37,A,O14684,PTGES,0,0,1.76,148
5BQI,A,O14684,PTGES,0,0,1.88,148
4AL1,A,O14684,PTGES,0,0,1.95,143
4BPM,A,O14684,PTGES,0,0,2.08,143
4Z4P,A,O14686,KMT2D,0,0,2.2,155
4JIF,A,O14713,ITGB1BP1,0,0,1.7,130
1G55,A,O14717,TRDMT1,0,0,1.8,311
2FVZ,D,O14732,IMPA2,0,0,2.4,244
2FVZ,C,O14732,IMPA2,0,0,2.4,244
2FVZ,B,O14732,IMPA2,0,0,2.4,244
2FVZ,A,O14732,IMPA2,0,0,2.4,244
5B2L,A,O14733,MAP2K7,-16,0,2.1,288
2DYL,A,O14733,MAP2K7,-16,0,2.45,272
2YEX,A,O14757,CHEK1,0,0,1.3,269
4HYI,A,O14757,CHEK1,0,0,1.4,269
3PA3,A,O14757,CHEK1,0,0,1.4,261
3OT3,A,O14757,CHEK1,0,0,1.44,261
3PA4,A,O14757,CHEK1,0,0,1.59,259
2YDI,A,O14757,CHEK1,0,0,1.6,280
3TKI,A,O14757,CHEK1,0,0,1.6,272
3OT8,A,O14757,CHEK1,0,0,1.65,255
1ZYS,A,O14757,CHEK1,0,0,1.7,271
4HYH,A,O14757,CHEK1,0,0,1.7,263
2QHN,A,O14757,CHEK1,0,0,1.7,268
1IA8,A,O14757,CHEK1,0,0,1.7,272
2HY0,A,O14757,CHEK1,0,0,1.7,272
3PA5,A,O14757,CHEK1,0,0,1.7,257
1ZLT,A,O14757,CHEK1,0,0,1.74,272
4QYG,B,O14757,CHEK1,0,0,1.75,264
4QYG,A,O14757,CHEK1,0,0,1.75,264
3JVR,A,O14757,CHEK1,0,0,1.76,258
3TKH,A,O14757,CHEK1,0,0,1.79,269
1NVR,A,O14757,CHEK1,0,0,1.8,264
1NVS,A,O14757,CHEK1,0,0,1.8,264
2HXL,A,O14757,CHEK1,0,0,1.8,272
2YM7,A,O14757,CHEK1,0,0,1.81,248
2YER,A,O14757,CHEK1,0,0,1.83,268
4RVK,A,O14757,CHEK1,0,0,1.85,264
4RVL,A,O14757,CHEK1,0,0,1.85,258
2YDJ,B,O14757,CHEK1,0,0,1.85,251
2YDJ,A,O14757,CHEK1,0,0,1.85,252
3U9N,A,O14757,CHEK1,0,0,1.85,258
4RVM,A,O14757,CHEK1,0,0,1.86,264
4FST,A,O14757,CHEK1,0,0,1.9,253
2R0U,A,O14757,CHEK1,0,0,1.9,269
4FTM,A,O14757,CHEK1,0,0,1.9,263
2HOG,A,O14757,CHEK1,0,0,1.9,272
4JIK,A,O14757,CHEK1,0,0,1.9,256
3JVS,A,O14757,CHEK1,0,0,1.9,256
3NLB,A,O14757,CHEK1,0,0,1.9,261
3F9N,A,O14757,CHEK1,0,0,1.9,253
2YDK,A,O14757,CHEK1,0,0,1.9,263
4QYH,B,O14757,CHEK1,0,0,1.9,264
2X8D,A,O14757,CHEK1,0,0,1.9,280
4QYH,A,O14757,CHEK1,0,0,1.9,264
5F4N,A,O14757,CHEK1,0,0,1.91,258
2X8I,A,O14757,CHEK1,0,0,1.92,261
2HXQ,A,O14757,CHEK1,0,0,2.0,272
2BR1,A,O14757,CHEK1,0,0,2.0,272
1NVQ,A,O14757,CHEK1,0,0,2.0,264
4FTC,A,O14757,CHEK1,0,0,2.0,266
4FTQ,A,O14757,CHEK1,0,0,2.0,254
2E9V,B,O14757,CHEK1,0,0,2.0,268
2E9V,A,O14757,CHEK1,0,0,2.0,268
2E9U,A,O14757,CHEK1,0,0,2.0,269
2QHM,A,O14757,CHEK1,0,0,2.0,268
2YM3,A,O14757,CHEK1,0,0,2.01,247
2WMV,A,O14757,CHEK1,0,0,2.01,251
2YM6,A,O14757,CHEK1,0,0,2.01,253
